name,sport,nationality,continent,year,event,feat,genre,image_name,info
Li Yujia,Badminton,Singapour,Asie,2008,Double féminin,Participation,Feminin,liyujia.jpg,Première joueuse singapourienne à participer
Hadia Hosny,Badminton,Egypte,Afrique,2008,Simple,Participation,Feminin,Hadiaolympic.jpg,Première joueuse egyptienne à participer
Deyanira Angulo,Badminton,Mexique,Amérique du Nord,2008,Simple,Participation,Feminin,deyanira-angulo-confia-en-badminton.jpg,Première joueuse mexicaine à participer
Wong Mew Choo,Badminton,Malaisie,Asie,2008,Simple,Participation,Feminin,062509_wong_mew_choo.jpg,Première joueuse malaisienne à participer
Thilini Jayasinghe,Badminton,Sri Lanka,Asie,2008,Simple,Participation,Feminin,Thilini-Jayasinghe.jpg,Première joueuse sri lankaise à participer
Lê Ngọc Nguyên Nhung,Badminton,Vietnam,Asie,2008,Simple,Participation,Feminin,tieu-su-tay-vot-le-ngoc-nguyen-nhung.jpg,Première joueuse vietnamienne à participer
Kati Tolmoff,Badminton,Estonie,Europe,2008,Simple,Participation,Feminin,Kati--Tolmoff.jpg,Première joueuse estonienne à participer
Agnese Allegrini,Badminton,Italie,Europe,2008,Simple,Participation,Feminin,Agnese_Allegrini.jpg,Première joueuse italienne à participer
Akvilė Stapušaitytė,Badminton,Lituanie,Europe,2008,Simple,Participation,Feminin,Akvile_Stapusaityte.jpg,Première joueuse lituanienne à participer
Ana Moura,Badminton,Portugal,Europe,2008,Simple,Participation,Feminin,Ana_MOURA.jpg,Première joueuse portugaise à participer
Eva Sládeková,Badminton,Slovaquie,Europe,2008,Simple,Participation,Feminin,Eva-Sladekova.jpg,Première joueuse slovaque à participer
Maja Tvrdy,Badminton,Slovénie,Europe,2008,Simple,Participation,Feminin,Maja-Tvrdy.jpeg,Première joueuse slovéne à participer
Saina Nehwal,Badminton,Inde,Asie,2012,Simple,Médaille,Feminin,Saina_Nehwal_in_2011.jpg,Première joueuse indienne en bronze
Neslihan Arın,Badminton,Turquie,Asie,2012,Simple,Participation,Feminin,Neslihan-Arin.jpg,Première joueuse turque à participer
Simone Prutsch,Badminton,Autriche,Europe,2012,Simple,Participation,Feminin,Simone-Prutsch.jpg,Première joueuse autrichienne à participer
Lianne Tan,Badminton,Belgique,Europe,2012,Simple,Participation,Feminin,Lianne_Tan.jpg,Première joueuse belge à participer
Sara Blengsli Kværnø,Badminton,Norvège,Europe,2012,Simple,Participation,Feminin,Sara-Blengsli-Kvaerno.jpg,Première joueuse norvégienne à participer
Jwala Gutta,Badminton,Inde,Asie,2012,Double féminin;Double mixte,Participation,Feminin,Jwala_Gutta_2011.jpg,Première joueuse indienne à participer
Ashwini Ponnappa,Badminton,Inde,Asie,2012,Double féminin,Participation,Feminin,Ashwini_Ponnappa_CWG.jpg,Première joueuse indienne à participer
Mizuki Fujii,Badminton,Japon,Asie,2012,Double féminin,Médaille,Feminin,Badminton-mizuki_fujii.jpg,Première joueuse japonaise en argent
Reika Kakiiwa,Badminton,Japon,Asie,2012,Double féminin,Médaille,Feminin,Reika-Kakiiwa.jpg,Première joueuse japonaise en argent
Valeria Sorokina,Badminton,Russie,Europe,2012,Double féminin,Médaille,Feminin,Valeria_Sorokina_Badminton_IMG_5105_(cropped).jpg,Première joueuse russe en bronze
Nina Vislova,Badminton,Russie,Europe,2012,Double féminin,Médaille,Feminin,1024px-Nina_Vislova.jpg,Première joueuse russe en bronze
Misaki Matsutomo,Badminton,Japon,Asie,2016,Double féminin,Titre,Feminin,Misaki-Matsutomo.jpg,Première joueuse japonaise titrée
Ayaka Takahashi,Badminton,Japon,Asie,2016,Double féminin,Titre,Feminin,Ayaka-Takahashi.jpg,Première joueuse japonaise titrée
Kamilla Rytter Juhl,Badminton,Danemark,Europe,2016,Double féminin,Médaille,Feminin,Badminton-wilson_swiss_open_2010-kamilla_rytter_juhl.jpg,Première joueuse danoise en argent
Christinna Pedersen,Badminton,Danemark,Europe,2016,Double féminin,Médaille,Feminin,Christinna-Pedersen.jpg,Première joueuse danoise en argent
Jamie Subandhi,Badminton,Etats-Unis,Amérique du Sud,2016,Double mixte,Participation,Feminin,jamie-subandhi.jpg,Première joueuse américaine à participer
Goh Liu Ying,Badminton,Malaisie,Asie,2016,Double mixte,Médaille,Feminin,Goh-Liu-Ying.jpg,Première joueuse malaisienne en argent
Lohaynny Vicente,Badminton,Brésil,Amérique du Sud,2016,Simple,Participation,Feminin,Lohaynny-Vicente.jpg,Première joueuse brésilienne à participer
Pusarla Venkata Sindhu,Badminton,Inde,Asie,2016,Simple,Médaille,Feminin,PV_Sindhu_headshot.jpg,Première joueuse indienne en argent
Nozomi Okuhara,Badminton,Japon,Asie,2016,Simple,Médaille,Feminin,800px-Nozomi_Okuhara_cropped_(1).jpg,Première joueuse japonaise en bronze
Carolina Marín,Badminton,Espagne,Europe,2016,Simple,Titre,Feminin,Carolina_Marin_2014_(cropped).jpg,Première joueuse espagnole titrée
Nikté Sotomayor,Badminton,Guatemala,Amérique du Sud,2021,Simple,Participation,Feminin,nikte.jpg,Seule joueuse guatémaltéque à participer
Sorayya Aghaei,Badminton,Iran,Asie,2021,Simple,Participation,Feminin,Sorayya_Aghaei_Tokyo_2020.jpg,Seule joueuse iranienne à participer
Ksenia Polikarpova,Badminton,Israël,Asie,2021,Simple,Participation,Feminin,Ksenia-Polikarpova.jpeg,Seule joueuse israélienne à participer
Fathimath Nabaaha Abdul Razzaq,Badminton,Maldives,Asie,2021,Simple,Participation,Feminin,Fathimath-Nabaaha-Abdul-Razzaq.jpg,Seule joueuse maldavienne à participer
Thet Htar Thuzar,Badminton,Myanmar,Asie,2021,Simple,Participation,Feminin,Thet_Htar_Thuzar.jpg,Seule joueuse myanmaraise à participer
Mahoor Shahzad,Badminton,Pakistan,Asie,2021,Simple,Participation,Feminin,Mahoor-jpg1623262800-0.jpg,Seule joueuse pakistanaise à participer
