name,sport,nationality,continent,year,event,feat,genre,image_name,info
Tiffany Chan,Golf,Hong Kong,Asie,2016,Individuel,Participation,Feminin,tiffany_chan.jpg,"Première golfeuse hongkongaise à participer

Tiffany Chan, née en 1993, est une golfeuse professionnelle de Hong Kong. Sur le circuit amateur, elle enregistre certains bons résultats comme sa victoire au Hong Kong Ladies Open. En 2016, Tiffany étudie à l’Université de Californie du Sud et décroche son billet olympique. Lors de ce tournoi, elle termine 37e. L’année suivante, elle devient professionnelle. Elle commence d’abord sur le Symetra Tour avant d’obtenir sa carte pour la LPGA en 2018. Tiffany se qualifie de nouveau pour les Jeux Olympiques. Cette fois-ci, elle termine 50e. En 2024, elle fait partie du top 550 mondial.

Palmarès :
1x Championne du Monde universitaire
1x TLPGA Future Open, 1x Hong Kong Ladies Open
3x Hong Kong Ladies Close
3x NJCAA National Championship
13x Autre tournoi en amateur"
Aditi Ashok,Golf,Inde,Asie,2016,Individuel,Participation,Feminin,aditi_ashok.jpg,"Première golfeuse indienne à participer

Aditi Ashok, né le 29 mars 1998, est un golfeur professionnel indien. Elle découvre le golf à l'âge de 5 ans par curiosité. En effet, lors d’un repas au restaurant, elle voit des hommes jouer et demande à son père ce qu’ils font. Sa famille l’amène alors sur le parcours du golf pour les rencontrer. A partir de là, elle commence ce sport soutenu et accompagné par ses parents. En 2016, Aditi devient la première golfeuse indienne dans quatre compétitions internationales majeures, remportant le Lalla Aïcha Tour et l'Open indien féminin notamment. Cette même année, elle participe au tournoi olympique où elle termine 41e. L’année suivante, la golfeuse intègre le LPGA. En 2021, elle est de nouveau qualifiée mais finit cette fois à la 45e place. Depuis 2023, Aditi ne cesse de progresser et de monter sur les podiums, décrochant même quelques victoires. Aujourd’hui, elle fait partie du top 60 mondiale.

Palmarès :
1x Hero Women's Indian Open, 1x Qatar Ladies Open, 1x Fatima Bint Mubarak Ladies Open, 1x Magical Kenya Ladies Open, 1x Andalucia Costa Del Sol Open De España
2x Hero Professional Tour Leg
17x Tournoi amateur "
Laetitia Beck,Golf,Israël,Asie,2016,Individuel,Participation,Feminin,laetitia_beck.png,"Seule golfeuse israélienne à participer

Laetitia Beck, une golfeuse professionnelle d'origine belge, est née à Anvers en 1992. A l’âge de 6 ans, sa famille déménage en Israël. Là-bas, à 9 ans, elle commence à jouer au golf et au tennis (qu’elle arrête tôt). Dans le but de trouver une compétition plus intense, elle est partie aux États-Unis à l'adolescence. Ici, Laetitia remporte ses premiers tournois en amateur. En 2014, par ses performances, elle décroche une place pour la LPGA, devenant la première Israélienne à y participer. Peu à peu, elle fait son chemin sans pour autant réaliser des podiums. En 2016, elle se qualifie aux Jeux où elle termine 34e. En 2021, elle réalise sa meilleure performance en terminant deuxième du Mission Inn Resort & Club Championship. En 2024, Laetitia fait partie du top 700 mondiale.

Palmarès :
3x Maccabiah Games"
Haru Nomura,Golf,Japon,Asie,2016,Individuel,Participation,Feminin,haru_nomura.jpg,"Première golfeuse japonaise à participer

Haru Nomura est une golfeuse professionnelle japonaise née en 1992. D'origine coréenne et japonaise, elle a grandi en Corée du Sud. C’est ici qu’à 11 ans, elle se met à jouer au golf. Très rapidement, elle devient la meilleure golfeuse de son âge en Corée. Alors en 2010, Haru passe sur le circuit professionnel. En 2011, elle déménage au Japon après avoir obtenu sa nationalité japonaise. Peu de temps après, la golfeuse gagne ses premiers tournois dont l’ISPS Handa Women's Australian Open peu avant les Jeux de Rio. Lors des JO, elle termine 7e. En 2021, Hamu loupe la qualification pour participer aux Jeux chez elle. Depuis fin 2023, la golfeuse n’a participé à aucun tournoi LPGA.

Palmarès :
1x ISPS Handa Women's Australian Open, 1x Chukyo TV Bridgestone Ladies Open
1x Swinging Skirts LPGA Classic,1x Hanwha Finance Classic
1x Volunteers of America Texas Shootout
1x Daytona Beach Invitational"
Shiho Oyama,Golf,Japon,Asie,2016,Individuel,Participation,Feminin,shiho_oyama.jpg,"Première golfeuse japonaise à participer

Shino Oyama naît en 1977 au Japon. A 10 ans, elle commence à jouer au golf après avoir regardé avec son père un drama sur le golf. En 1994, elle remporte le titre national en catégorie junior. Après avoir réussi à obtenir son diplôme universitaire, elle se lance sur le circuit professionnel. En 2003, Shino gagne son premier tournoi. Puis en 2006,  elle établit un record en remportant trois tournois en un mois. Elle est également devenue la première personne à dépasser les 150 millions de yens de gain dans l'histoire de la JLPGA. Ses diverses performances lui permettent d’obtenir son billet pour les Jeux où elle se classe 42e. Entre 2016 et 2021, elle gagne uniquement deux tournois, l’empêchant d’obtenir son billet pour Tokyo. En 2022, Shiho stoppe sa carrière sportive.

Palmarès : 
2x Masters GC Dames
12x Tournoi sur le circuit Ricoh de la LPGA
3x Tournoi amateur"
Kelly Tan,Golf,Malaisie,Asie,2016,Individuel,Participation,Feminin,kelly_tan.jpg,"Première golfeuse malaisienne à participer

Kelly Tan est une golfeuse professionnelle malaisienne née en 1993. Elle obtient sa carte pour la LPGA Tour en 2014 grâce à un tournoi de qualification. Deux ans plus tard, elle se qualifie pour les Jeux olympiques d'été de 2016. Lors de ces Jeux, Kelly se classe 51e. En 2019, la golfeuse remporte son premier (et seul) trophée professionnel Florida's Natural Charity Classic. En 2021, elle participe de nouveau aux Jeux. Cette fois-ci, elle finit à la 34e place. Kelly est actuellement dans le top 800 mondiale.

Palmarès :
1x Florida's Natural Charity Classic
11x Tournoi amateur"
Michelle Koh,Golf,Malaisie,Asie,2016,Individuel,Participation,Feminin,michelle_koh.jpg,"Première golfeuse malaisienne à participer

Michelle Koh naît en 1990 en Malaisie. Elle a joué pour l'Université Campbell pendant ses études. En 2009, elle a remporté une médaille de bronze aux Jeux d'Asie du Sud-Est. En 2015, elle remporte son premier tournoi professionnel, le CTBC Shanghai Ladies Classic. Puis, elle enchaîne un peu après en gagnant son dernier tournoi, Kenda Tires TLPGA Open. Un an plus tard, elle participe aux Jeux où elle termine 58e.

Palmarès : 
1x Médaille de bronze aux Jeux asiatique
1x CTBC Shanghai Ladies Classic, 1x Kenda Tires TLPGA Open
7x Tournoi amateur"
Candie Kung,Golf,Taiwan,Asie,2016,Individuel,Participation,Feminin,candie_kung.jpg,"Première golfeuse taiwanaise à participer

Candie Kung, née en 1981, est une golfeuse professionnelle américano-taiwanaise. Elle a été All-American de l'AJGA et a remporté l'U.S. Women's Amateur Public Links. Elle a joué sur le Futures Tour et a remporté le SBC Futures Tour Championship en 2001. Elle a gagné une place sur le circuit LPGA en 2002. L’année suivante, elle remporte trois tournois. En 2009, Candie a été toute proche de remporter son premier majeur à l’US Open. Elle était à égalité avant le dernier trou. En 2016, elle se qualifie pour les Jeux Olympiques. Elle finit à la 31e place en défendant les pays de ses origines, Taiwan. Trois ans plus tard, en 2019, Candie met un terme à sa carrière.

Palmarès :
1x SBC FUTURES Tour Championship, 1x Hana Bank-KOLON Championship
1x LPGA Takefuji Classic, 1x Wachovia LPGA Classic
1x State Farm Classic"
Teresa Lu,Golf,Taiwan,Asie,2016,Individuel,Participation,Feminin,teresa_lu.jpg,"Première golfeuse taiwanaise à participer

Teresa Lu est une golfeuse professionnelle taïwanaise née en 1987. Elle intègre la Ladies Asian Golf Tour et la LPGA en 2006. Pendant 4 ans, elle enchaîne les tournois remportant de temps à autres des trophées. En 2013, Teresa change de ligue pour intégrer la Japan Tour. En un peu moins de 3 ans, la golfeuse gagne dix tournois. Cet enchaînement de victoires lui permettent d’obtenir son billet pour les Jeux. En 2016, elle termine à la 16e place du tournoi olympique. L’année suivante, elle réalise son meilleure classement mondial en étant à la 19e place. Aucune golfeuse taïwanaise n’a fait mieux. Sa dernière victoire date de 2017, se classant aujourd’hui dans le top 600 mondial.

Palmarès : 
1x Mizuno Classic, 1x Hitachi Ladies Classic
1x Japan Women's Open Golf Championship
2x Japan LPGA Tour Championship Ricoh Cup, 1x Japan LPGA Championship Konica Minolta Cup, 12x Autre tournoi du circuit japonaise de la LPGA
1x CTBC Ladies Open, 1x Taifong Ladies Open"
Ariya Jutanugarn,Golf,Thaïlande,Asie,2016,Individuel,Participation,Feminin,ariya_jutanugarn.jpg,"Première golfeuse thaïlandaise à participer

Ariya Jutanugarn est une golfeuse professionnelle thaïlandaise née en 1995. A l’époque, ses parents possèdent un magasin de golf alors c’est naturellement qu’elle se tourne vers ce sport très jeune. A 11 ans, elle se qualifie pour la Honda LPGA Thaïlande, un tournoi du circuit LPGA. En 2012, à 16 ans, Ariya devient professionnelle. En 2013, elle participe à son premier Ladies European Tour. Dès ses débuts, elle gagne un tournoi, le Lalla Meryem Cup. Après trois ans de disette, la golfeuse renoue avec la victoire peu de temps avant les Jeux. Lors de l’épreuve olympique,  Ariya est disqualifiée. Après cette amère compétition, la golfeuse hésite à arrêter. Finalement, elle continue et enchaîne les victoires après deux ans de disette. Elle se qualifie de nouveau aux Jeux Olympiques. Cette fois-ci, elle termine le tournoi et finit à la 43e place. Actuellement, Ariya fait partie du top 50 mondial.

Palmarès :
1x US Open, 1x British Open
2x Kingsmill Championship
8x Autre tournoi LPGA
1x Lalla Meryem Cup, 1x Aberdeen Standard Investments Ladies Scottish Open
10x Tournoi amateur"
